Welcome to the profile statistics browser.
profile.txt% profile.txt% Tue Sep 29 15:08:21 2020    profile.txt

         4711831 function calls (4499771 primitive calls) in 36.976 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1444/1    0.010    0.000   36.989   36.989 {built-in method builtins.exec}
        1    0.000    0.000   36.989   36.989 test.py:1(<module>)
        1    0.083    0.083   32.651   32.651 /home/alkis/Code/pytorch_kge/train.py:16(train)
        1    1.229    1.229   23.061   23.061 /home/alkis/Code/pytorch_kge/evaluation.py:100(entity_ranking2)
    58250    8.153    0.000    8.156    0.000 {method 'to' of 'torch._C._TensorBase' objects}
118098/21018    1.606    0.000    7.025    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/module.py:710(_call_impl)
    19416    0.182    0.000    6.232    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/container.py:115(forward)
        4    0.000    0.000    4.165    1.041 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:337(_compile_for_args)
    123/5    0.001    0.000    4.153    0.831 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_lock.py:29(_acquire_compile_lock)
     11/4    0.000    0.000    4.110    1.027 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:795(compile)
      5/4    0.000    0.000    4.109    1.027 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:77(compile)
      5/4    0.000    0.000    4.109    1.027 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:84(_compile_cached)
      5/4    0.000    0.000    4.109    1.027 /usr/local/lib64/python3.8/site-packages/numba/core/dispatcher.py:99(_compile_core)
      5/4    0.000    0.000    4.108    1.027 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:601(compile_extra)
      5/4    0.000    0.000    3.870    0.967 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:350(compile_extra)
      5/4    0.000    0.000    3.864    0.966 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:420(_compile_bytecode)
      5/4    0.000    0.000    3.864    0.966 /usr/local/lib64/python3.8/site-packages/numba/core/compiler.py:380(_compile_core)
      5/4    0.001    0.000    3.857    0.964 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_machinery.py:318(run)
   110/88    0.004    0.000    3.853    0.044 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_machinery.py:259(_runPass)
  330/264    0.001    0.000    3.831    0.015 /usr/local/lib64/python3.8/site-packages/numba/core/compiler_machinery.py:263(check)
     1452    0.018    0.000    3.686    0.003 /usr/local/lib64/python3.8/site-packages/torch/optim/lr_scheduler.py:62(wrapper)
     1452    0.027    0.000    3.668    0.003 /usr/local/lib64/python3.8/site-packages/torch/autograd/grad_mode.py:12(decorate_context)
     1452    0.292    0.000    3.600    0.002 /usr/local/lib64/python3.8/site-packages/torch/optim/sparse_adam.py:37(step)
    19416    0.244    0.000    3.299    0.000 /home/alkis/Code/pytorch_kge/models.py:10(forward)
64762/59797    0.380    0.000    2.942    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1205/33    0.014    0.000    2.679    0.081 <frozen importlib._bootstrap>:986(_find_and_load)
  1205/33    0.011    0.000    2.677    0.081 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  1595/34    0.004    0.000    2.674    0.079 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1164/33    0.012    0.000    2.670    0.081 <frozen importlib._bootstrap>:650(_load_unlocked)
  1032/33    0.006    0.000    2.666    0.081 <frozen importlib._bootstrap_external>:777(exec_module)
    40434    0.173    0.000    2.399    0.000 <__array_function__ internals>:2(repeat)
     7499    2.222    0.000    2.222    0.000 {built-in method argsort}
        5    0.000    0.000    2.061    0.412 /usr/local/lib64/python3.8/site-packages/numba/core/typed_passes.py:430(run_pass)
        5    0.001    0.000    2.059    0.412 /usr/local/lib64/python3.8/site-packages/numba/core/typed_passes.py:347(run_pass)
    40434    0.128    0.000    2.001    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/fromnumeric.py:437(repeat)
    43744    0.173    0.000    1.917    0.000 /usr/local/lib64/python3.8/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
     1452    0.021    0.000    1.825    0.001 /usr/local/lib64/python3.8/site-packages/torch/tensor.py:155(backward)
  614/116    0.003    0.000    1.818    0.016 {built-in method builtins.__import__}
     1452    0.020    0.000    1.805    0.001 /usr/local/lib64/python3.8/site-packages/torch/autograd/__init__.py:57(backward)
    19416    0.057    0.000    1.794    0.000 /home/alkis/Code/pytorch_kge/models.py:20(forward)
        1    0.000    0.000    1.767    1.767 /home/alkis/Code/pytorch_kge/train.py:1(<module>)
        1    0.000    0.000    1.764    1.764 /home/alkis/Code/pytorch_kge/evaluation.py:1(<module>)
        1    0.000    0.000    1.746    1.746 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/module.py:524(to)
      5/1    0.000    0.000    1.746    1.746 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/module.py:352(_apply)
        2    0.000    0.000    1.745    0.872 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/module.py:602(convert)
        3    0.004    0.001    1.739    0.580 /home/alkis/Code/pytorch_kge/graph5.py:105(from_csv)
    19416    0.765    0.000    1.737    0.000 /home/alkis/Code/pytorch_kge/models.py:37(score)
     1452    1.719    0.001    1.719    0.001 {method 'run_backward' of 'torch._C._EngineBase' objects}
    58248    0.293    0.000    1.695    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/modules/sparse.py:123(forward)
4941/4156    0.029    0.000    1.664    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    35628    1.581    0.000    1.581    0.000 {method 'repeat' of 'numpy.generic' objects}
        5    0.000    0.000    1.541    0.308 /usr/local/lib64/python3.8/site-packages/numba/core/lowering.py:131(lower)
    58248    0.161    0.000    1.317    0.000 /usr/local/lib64/python3.8/site-packages/torch/nn/functional.py:1736(embedding)
      5/4    0.000    0.000    1.245    0.311 /usr/local/lib64/python3.8/site-packages/numba/core/typed_passes.py:85(run_pass)
